% Model:              2D_2018_fixed_bottom_liquid__voltage_sweeps__2_wd_2mps.mph
% Version:            COMSOL 5.4.0.388
% Date:               Jun 24 2021, 15:10
% Table:              Probe Table 6 - 
% Time (s)               y-fluid_thickness (mm), droplet_gap
0                        0.10000000216352006
2.34375E-5               0.09999999841677149
4.19787453776274E-5      0.09999998505102982
7.90612361328822E-5      0.09999986046104825
1.5322621764339182E-4    0.09999880339004764
2.2739119915390142E-4    0.09999653334102648
3.757211621749206E-4     0.09998410262234422
5.240511251959398E-4     0.09996088044490889
6.72381088216959E-4      0.09992410359880916
9.690410142589974E-4     0.09977586324532708
0.0012657009403010358    0.09953396851922766
0.0018590207923851127    0.09854497192428313
0.0023930086592607817    0.0971663853823715
0.0029269965261364507    0.09522810781337816
0.0034609843930121197    0.0926717679418012
0.004528960126763458     0.08597067778462822
0.005596935860514796     0.07656566638531348
0.006344037416617502     0.06815748628527908
0.006344037416617502     0.0680917446529458
0.007016428817109939     0.0585492614419
0.007688820217602374     0.04770667447208604
0.007688820217602374     0.04770281481674418
0.008357314366113984     0.035663472849261926
0.008357314366113984     0.03566524097274809
0.009122204491826302     0.020787558831876583
0.009122204491826302     0.020776901884091408
0.009590368324119693     0.011890254518158797
0.009590368324119693     0.01189309768754752
0.009824450240266389     0.007868212473537313
0.009824450240266389     0.007867935989810775
0.009941491198339735     0.006075784552839279
0.009941491198339735     0.006075324877275173
0.010058532156413082     0.004653954651421578
0.010058532156413082     0.004652986332060252
0.010117052635449757     0.004031648692542217
0.010175573114486431     0.0035233932762371648
0.010175573114486431     0.003521504267132644
0.010234093593523105     0.003132392748902285
0.01029261407255978      0.0028455727821884505
0.01029261407255978      0.0028454617729844513
0.010397950934825793     0.002647635232630105
0.010503287797091806     0.0026260492927893987
0.010503287797091806     0.0026247609276491314
0.010662382945496849     0.002828539451470765
0.010662382945496849     0.0028283250726986522
0.010980573242306934     0.0035843475147631122
0.010980573242306934     0.0035834949171881063
0.011139668390711977     0.003863598729718365
0.01129876353911702      0.004149323952101422
0.01129876353911702      0.004149318808819788
0.011585134806246096     0.004742010951367705
0.011585134806246096     0.0047435863650777815
0.01215787734050425      0.005928722215362697
0.01215787734050425      0.005926461797750929
0.013303362409020558     0.007574357572977513
0.013303362409020558     0.007574029074899381
0.013876104943278712     0.008117025009669442
0.014448847477536867     0.008634022339984015
0.014448847477536867     0.00862973532722057
0.01514726008647663      0.009214547560991784
0.015845672695416393     0.009707191567784063
0.015845672695416393     0.009699854501440258
0.016667503692163844     0.010138186640088614
0.017489334688911295     0.010474197111495429
0.017489334688911295     0.010472426756258021
0.01830055742819084      0.010713708287075994
0.019111780167470383     0.010888810367429974
0.019111780167470383     0.010890306063780168
0.019919955715146764     0.010984232605533266
0.020728131262823146     0.010993540323010666
0.020728131262823146     0.010993134502925665
0.021511212603244484     0.010895744630814823
0.022294293943665822     0.010686735008878616
0.022294293943665822     0.010685666064167224
0.023125087885431255     0.010343228829199844
0.023955881827196688     0.0098809938370646
0.023955881827196688     0.009881935084225107
0.02487687567921582      0.009380243044083362
0.02579786953123495      0.009053430739946067
0.02579786953123495      0.00905226667005177
0.026803043718686203     0.009063521721065348
0.027808217906137456     0.009399537164170128
0.027808217906137456     0.009400029262923802
0.02889127099265218      0.010018213468838185
0.029974324079166902     0.010702882469845049
0.029974324079166902     0.010700687908375868
0.03140520122933837      0.011475585978256743
0.03283607837950984      0.012038766567025808
0.03283607837950984      0.012036619930018769
0.034504277586748025     0.012452065697461396
0.03617247679398621      0.01267121815876765
0.03617247679398621      0.012669757247985112
0.03794055037027645      0.012799666710139324
0.03970862394656669      0.012857306169179218
0.03970862394656669      0.012856988063498966
0.04194492975642087      0.012969860298995932
0.04418123556627505      0.013107282764521916
0.04418123556627505      0.013107179511917099
0.04743120711366092      0.013469228789252195
0.04743120711366092      0.013469386400173037
0.05393115020843266      0.01419072810910629
0.05393115020843266      0.014187801498987112
0.06393115020843265      0.014998754960909334
0.06393115020843265      0.014999048425716043
0.06893115020843266      0.015267776971051965
0.06893115020843266      0.01525960499358485
0.07893115020843265      0.015811444186148924
0.07893115020843265      0.015817758262141445
0.08893115020843265      0.016251916204537264
0.08893115020843265      0.016253362753740168
0.09893115020843264      0.01655720687098773
0.09893115020843264      0.016555294447717205
0.10893115020843264      0.016872122523766547
0.10893115020843264      0.016874500707763935
0.11893115020843263      0.017109074944610374
0.11893115020843263      0.017113413794291824
0.12893115020843263      0.017293103536906735
0.13893115020843264      0.017459626144957982
0.13893115020843264      0.017461536934262976
0.14893115020843264      0.017566638864313557
0.15893115020843265      0.017688221349221583
0.15893115020843265      0.017684763093390142
0.16893115020843266      0.017796262702291822
0.17893115020843267      0.017897104059024643
0.18893115020843268      0.017972052854387747
0.18893115020843268      0.017971870056507615
0.1989311502084327       0.01800075285168139
0.2089311502084327       0.018044377000219283
0.2189311502084327       0.018086930160376297
0.22893115020843272      0.01813576019035713
0.23893115020843272      0.018167240178642522
0.23893115020843272      0.01816880919103519
0.24893115020843273      0.01815923083166174
0.2589311502084327       0.01817348473155591
0.2689311502084327       0.018188636046304746
0.27893115020843273      0.018211264894845824
0.28893115020843274      0.018227898321522204
0.29893115020843275      0.018241415455191954
0.30893115020843276      0.018253664362007874
0.31893115020843277      0.01825305869163161
0.3289311502084328       0.018275916116760466
0.3389311502084328       0.018288985029867554
0.3389311502084328       0.01828722272162117
0.3489311502084328       0.018237967688848698
0.3589311502084328       0.01823378816144354
0.3689311502084328       0.018235414011215194
0.3789311502084328       0.018242231914047773
