% Model:              2D_2018_fixed_bottom_liquid__voltage_sweeps__2_wd_1.5mps.mph
% Version:            COMSOL 5.4.0.388
% Date:               Jun 25 2021, 16:20
% Table:              Probe Table 5 - 
% Time (s)               Spatial coordinate x (mm), x_center_of_mass
0                        26.100002021404908
2.34375E-5               26.10000173738555
4.44953374929778E-5      26.100001246293086
8.661101247893339E-5     26.099999298729752
1.2872668746488898E-4    26.099996369289475
2.1295803743680018E-4    26.099986551453117
2.9718938740871134E-4    26.099972780518392
4.6565208735253373E-4    26.099929933821425
6.341147872963561E-4     26.099872438328
9.710401871840009E-4     26.09970530209199
0.0013079655870716455    26.099492555072224
0.001981816386846935     26.09893521994586
0.0026556671866222246    26.098292047480097
0.003329517986397514     26.09760378027333
0.004677219585948094     26.096218411630055
0.006024921185498673     26.09489469998411
0.006024921185498673     26.094895016024935
0.00713578005555405      26.093932166586278
0.00713578005555405      26.09393290274796
0.007714459473897022     26.09344528488838
0.007714459473897022     26.09344699650468
0.008445089221363252     26.09282395166276
0.008445089221363252     26.092818868293747
0.00888041906192153      26.092438795977003
0.00888041906192153      26.09243857048063
0.009098083982200668     26.092244803875836
0.009098083982200668     26.092242576683287
0.009315748902479807     26.092042731155164
0.009315748902479807     26.09204059571748
0.009424581362619375     26.091938375691292
0.009424581362619375     26.091935647533507
0.009533413822758944     26.091830462507723
0.009533413822758944     26.091829425147626
0.009751078743038082     26.09159978208651
0.009751078743038082     26.091600138843862
0.00985991120317765      26.091479008782194
0.00985991120317765      26.09147821825049
0.01007757612345679      26.091212021747918
0.01007757612345679      26.0912135385109
0.010186408583596358     26.091073687141627
0.010295241043735926     26.090928419390682
0.010295241043735926     26.09092592186056
0.01049113947198715      26.090648876054864
0.01049113947198715      26.09065178329137
0.0108829363284896       26.09005587410382
0.0108829363284896       26.09005390415762
0.011078834756740824     26.089747022116082
0.011274733184992048     26.089433985774036
0.011274733184992048     26.08943370139777
0.011627350355844251     26.088858958031963
0.011627350355844251     26.08885692781962
0.01233258469754866      26.087713711795562
0.01233258469754866      26.08771093485242
0.013743053380957477     26.08555229694892
0.013743053380957477     26.085552765548936
0.014448287722661886     26.084496669470557
0.015153522064366294     26.083460379756012
0.015153522064366294     26.083462290231818
0.015858756406070703     26.082431771206295
0.01656399074777511      26.081392335993396
0.01656399074777511      26.08139272136224
0.017459749304607343     26.08003652080864
0.017459749304607343     26.080034638884534
0.01925126641827181      26.07742956325569
0.01925126641827181      26.077425617268656
0.020147024975104042     26.0761783921309
0.021042783531936275     26.0750220764422
0.021042783531936275     26.075022967321942
0.022046749413539943     26.073872595211956
0.02305071529514361      26.07288850326592
0.024333605268239945     26.07180452245825
0.024333605268239945     26.071803431306932
0.02561649524133628      26.071074947188656
0.026899385214432615     26.07055545601644
0.026899385214432615     26.070553092191787
0.028226846458505296     26.07018840974147
0.029554307702577977     26.069963797286075
0.031036670850490455     26.069808981688748
0.031036670850490455     26.069816450896237
0.03251903399840293      26.069833105703594
0.034001397146315414     26.06996627950453
0.03597981334980124      26.070348604119825
0.03597981334980124      26.07035060068894
0.03775920847039001      26.070851742726003
0.03953860359097877      26.07151135566499
0.04309739383215629      26.07317182861782
0.04309739383215629      26.07317633507075
0.04630030504921606      26.07527648043904
0.04950321626627583      26.077713386106314
0.054342418827318925     26.08202266851905
0.05869770113225771      26.086326519569702
0.05869770113225771      26.08633314582145
0.0630529834371965       26.090999762248128
0.06740826574213528      26.09598634599542
0.07611883035201285      26.106541460403005
0.08482939496189042      26.118007502539243
0.09353995957176799      26.129762701496592
0.09353995957176799      26.12977812680857
0.10353995957176798      26.143501249481805
0.11353995957176798      26.157241420831472
0.12353995957176797      26.170919021351637
0.13353995957176798      26.184192172306965
0.143539959571768        26.197059862304762
0.143539959571768        26.197072916973674
0.153539959571768        26.20958126111943
0.163539959571768        26.221674782256827
0.17353995957176802      26.233458833390724
0.18353995957176802      26.244529909557947
0.19353995957176803      26.255054301438992
0.20353995957176804      26.265038191251346
0.20353995957176804      26.26505046394564
0.21353995957176805      26.27460398946392
0.22353995957176806      26.283715528642944
0.23353995957176807      26.29251734321488
0.24353995957176808      26.30067674769077
0.25353995957176806      26.30836694646271
0.26353995957176807      26.3156064356575
0.2735399595717681       26.322586107586044
0.2735399595717681       26.322602415420146
0.2835399595717681       26.32906190095586
0.2935399595717681       26.33518406732061
0.3035399595717681       26.34107065964446
0.3135399595717681       26.346482850721905
0.3235399595717681       26.351554749416657
0.33353995957176813      26.356304470352008
0.34353995957176814      26.360750614990334
0.35353995957176815      26.365021930327636
0.36353995957176816      26.369015196049695
0.37353995957176817      26.372764281117977
0.3835399595717682       26.376264149435027
0.3935399595717682       26.379533444271598
0.4035399595717682       26.382582954895504
0.4035399595717682       26.382587571297925
0.4135399595717682       26.385444285215506
0.4235399595717682       26.388193189820388
0.4335399595717682       26.39085084729382
0.4435399595717682       26.39330240193229
0.45353995957176824      26.395596295793627
0.46353995957176825      26.397739171801128
0.47353995957176825      26.39974180193305
0.48353995957176826      26.40161375225953
0.49353995957176827      26.40336751301105
0.5035399595717682       26.405011480394652
0.5135399595717682       26.406555700691253
0.5235399595717682       26.40800815436785
0.5335399595717683       26.409373687900654
0.5435399595717683       26.410661314813456
0.5535399595717683       26.411869733062115
0.5635399595717683       26.413008282310084
0.5735399595717683       26.414072440884947
0.5835399595717683       26.41507087086102
0.5935399595717683       26.416000595237545
0.6035399595717683       26.41686553908779
0.6135399595717683       26.417670722045308
0.6235399595717683       26.41840998308028
0.6335399595717683       26.419086211371713
