% Model:              first_sketch_v06__sigmasweep_adaptivemesh_179.9CA.mph
% Version:            COMSOL 5.4.0.388
% Date:               Jul 31 2021, 19:02
% Dimension:          2
% Nodes:              371
% Expressions:        15
% Description:        Entity index, r-coordinate, z-coordinate
% Length unit:        mm
% r                       z                        dom @ t=237              r (mm) @ t=237           z (mm) @ t=237           dom @ t=247              r (mm) @ t=247           z (mm) @ t=247           dom @ t=257              r (mm) @ t=257           z (mm) @ t=257           dom @ t=267              r (mm) @ t=267           z (mm) @ t=267           dom @ t=277              r (mm) @ t=277           z (mm) @ t=277
0                         0.8475268383856293       1                        0                        0.8475268383856293       1                        0                        0.8545012009875722       1                        0                        0.8609933595488831       1                        0                        0.8670465272998117       1                        0                        0.8726994790546011
0                         0.8561550410145035       1                        0                        0.8561550410145035       1                        0                        0.8631792852585186       1                        0                        0.8697184893262946       1                        0                        0.8758167183476343       1                        0                        0.8815132613189276
0                         0.8380089527232906       1                        0                        0.8380089527232906       1                        0                        0.8449279308382811       1                        0                        0.8513678705293038       1                        0                        0.8573710482903234       1                        0                        0.8629756681889107
0                         0.8275096271064681       1                        0                        0.8275096271064681       1                        0                        0.8343670867474173       1                        0                        0.8407490410858073       1                        0                        0.846696736090395        1                        0                        0.8522477422365007
0                         0.8159276384899213       1                        0                        0.8159276384899213       1                        0                        0.822716738960679        1                        0                        0.8290342767981786       1                        0                        0.8349203634595397       1                        0                        0.8404118659641033
0                         0.803151326869873        1                        0                        0.803151326869873        1                        0                        0.8098644364579475       1                        0                        0.8161103820089877       1                        0                        0.8219280247585368       1                        0                        0.8273534505322915
0                         0.7890575019272642       1                        0                        0.7890575019272642       1                        0                        0.7956861027965875       1                        0                        0.8018524453061308       1                        0                        0.8075940111440998       1                        0                        0.812946018316168
0                         0.7735102648847134       1                        0                        0.7735102648847134       1                        0                        0.7800448460544837       1                        0                        0.7861226380969342       1                        0                        0.7917795978564978       1                        0                        0.7970499787827144
0                         0.7563597022028801       1                        0                        0.7563597022028801       1                        0                        0.7627896388140504       1                        0                        0.7687688815679093       1                        0                        0.774331698225998        1                        0                        0.779511269340104
0                         0.737440419194198        1                        0                        0.737440419194198        1                        0                        0.7437538353832464       1                        0                        0.7496233485371785       1                        0                        0.7550813503866447       1                        0                        0.76015982677223
0                         0.7165699555186822       1                        0                        0.7165699555186822       1                        0                        0.7227535677424411       1                        0                        0.728500841354519        1                        0                        0.733842077603578        1                        0                        0.738807929971451
0                         0.6935470126463145       1                        0                        0.6935470126463145       1                        0                        0.6995859485974245       1                        0                        0.7051969728256281       1                        0                        0.7104080480009768       1                        0                        0.7152483387299231
0                         0.668149499301136        1                        0                        0.668149499301136        1                        0                        0.6740270856392158       1                        0                        0.6794861527829694       1                        0                        0.6845520351717861       1                        0                        0.6892522292027405
0                         0.6401323735807982       1                        0                        0.6401323735807982       1                        0                        0.6458298823752323       1                        0                        0.6511193530170944       1                        0                        0.6560231502388749       1                        0                        0.6605668948690939
0                         0.6092252521073512       1                        0                        0.6092252521073512       1                        0                        0.6147215881664311       1                        0                        0.6198216068767861       1                        0                        0.624544296436919        1                        0                        0.6289131596962354
0                         0.57512974246779         1                        0                        0.57512974246779         1                        0                        0.5804010470978722       1                        0                        0.5852891880960578       1                        0                        0.589809287073574        1                        0                        0.5939824418639208
0                         0.5375164924269719       1                        0                        0.5375164924269719       1                        0                        0.5425356159064121       1                        0                        0.5471864199937464       1                        0                        0.551479562240986        1                        0                        0.5554333902621086
0                         0.49602185731720977      1                        0                        0.49602185731720977      1                        0                        0.5007576165908624       1                        0                        0.5051419515457743       1                        0                        0.5091803178822641       1                        0                        0.5128878899723089
0                         0.45024413256005374      1                        0                        0.45024413256005374      1                        0                        0.45466020537782265      1                        0                        0.45874432849187363      1                        0                        0.4624958337288871       1                        0                        0.4659261923471881
0                         0.40152568717804266      1                        0                        0.40152568717804266      1                        0                        0.40559187140469466      1                        0                        0.4093481384283814       1                        0                        0.4127868028537274       1                        0                        0.41591511348266696
0                         0.35630770982103016      1                        0                        0.35630770982103016      1                        0                        0.3600380552430894       1                        0                        0.3634805785052781       1                        0                        0.3666205844454538       1                        0                        0.3694610925097375
0                         0.3152310383321659       1                        0                        0.3152310383321659       1                        0                        0.31864442025714934      1                        0                        0.3217918989594743       1                        0                        0.32465200974238506      1                        0                        0.32722363356687456
0                         0.2780104078051285       1                        0                        0.2780104078051285       1                        0                        0.28112391194704583      1                        0                        0.2839933507048386       1                        0                        0.2865908788772299       1                        0                        0.28891137432305
0                         0.2442398530300761       1                        0                        0.2442398530300761       1                        0                        0.24706777143558686      1                        0                        0.24967347568774995      1                        0                        0.25202330060778955      1                        0                        0.2541083152993168
0                         0.21361344224038067      1                        0                        0.21361344224038067      1                        0                        0.2161681242056557       1                        0                        0.21852241439319725      1                        0                        0.22063761687019648      1                        0                        0.22250128801986804
0                         0.18458054042626698      1                        0                        0.18458054042626698      1                        0                        0.1868604455163454       1                        0                        0.18896264190875092      1                        0                        0.19084428686604737      1                        0                        0.19248972086888402
