Time (s)	drop_volume (m^3)	contact_angle (rad)	sqrt(sigma*pw1(t)/((1000 [kg/m^3])*(g_const))) (mm)	r-coordinate (mm), rmax	z-coordinate (mm), zmax
148.06	5.2360E-10	3.1398	0.56277	0.55722	0.75995
148.07	5.2360E-10	3.1398	0.56277	0.55722	0.75995
148.09	5.2360E-10	3.1398	0.56277	0.55722	0.75995
148.10	5.2360E-10	3.1398	0.56277	0.55722	0.75995
148.12	5.2360E-10	3.1398	0.56277	0.55722	0.75995
148.13	5.2360E-10	3.1398	0.56278	0.55722	0.75995
148.16	5.2360E-10	3.1398	0.56279	0.55722	0.75996
148.19	5.2360E-10	3.1398	0.56280	0.55722	0.75996
148.22	5.2360E-10	3.1398	0.56281	0.55722	0.75996
148.25	5.2360E-10	3.1398	0.56284	0.55722	0.75997
148.29	5.2360E-10	3.1398	0.56288	0.55721	0.75998
148.34	5.2360E-10	3.1398	0.56295	0.55721	0.76001
148.39	5.2360E-10	3.1398	0.56303	0.55720	0.76004
148.45	5.2360E-10	3.1398	0.56318	0.55718	0.76009
148.52	5.2360E-10	3.1398	0.56337	0.55716	0.76016
148.60	5.2360E-10	3.1398	0.56368	0.55712	0.76028
148.69	5.2360E-10	3.1398	0.56407	0.55707	0.76044
148.77	5.2360E-10	3.1398	0.56454	0.55701	0.76063
148.85	5.2360E-10	3.1398	0.56509	0.55693	0.76086
148.94	5.2360E-10	3.1398	0.56573	0.55684	0.76113
148.98	5.2360E-10	3.1398	0.56614	0.55679	0.76131
149.03	5.2360E-10	3.1398	0.56657	0.55673	0.76149
149.08	5.2360E-10	3.1398	0.56702	0.55667	0.76169
149.18	5.2360E-10	3.1398	0.56801	0.55653	0.76212
149.25	5.2360E-10	3.1398	0.56883	0.55641	0.76248
149.32	5.2360E-10	3.1398	0.56971	0.55629	0.76287
149.39	5.2360E-10	3.1398	0.57058	0.55616	0.76325
149.46	5.2360E-10	3.1398	0.57149	0.55603	0.76365
149.53	5.2360E-10	3.1398	0.57243	0.55590	0.76407
149.67	5.2360E-10	3.1398	0.57441	0.55562	0.76494
149.74	5.2360E-10	3.1398	0.57558	0.55545	0.76547
149.82	5.2360E-10	3.1398	0.57665	0.55530	0.76595
149.96	5.2360E-10	3.1398	0.57883	0.55499	0.76692
150.08	5.2360E-10	3.1398	0.58069	0.55472	0.76776
150.20	5.2360E-10	3.1398	0.58253	0.55446	0.76858
150.32	5.2360E-10	3.1398	0.58432	0.55421	0.76938
150.56	5.2360E-10	3.1398	0.58765	0.55373	0.77089
150.80	5.2360E-10	3.1398	0.59052	0.55332	0.77219
151.02	5.2360E-10	3.1398	0.59259	0.55302	0.77315
151.24	5.2360E-10	3.1398	0.59411	0.55280	0.77387
151.29	5.2360E-10	3.1398	0.59442	0.55275	0.77401
151.35	5.2360E-10	3.1398	0.59469	0.55271	0.77414
151.40	5.2360E-10	3.1398	0.59493	0.55267	0.77426
151.46	5.2360E-10	3.1398	0.59513	0.55264	0.77436
151.50	5.2360E-10	3.1398	0.59526	0.55262	0.77442
151.55	5.2360E-10	3.1398	0.59537	0.55260	0.77448
151.59	5.2360E-10	3.1398	0.59547	0.55259	0.77453
151.60	5.2360E-10	3.1398	0.59550	0.55258	0.77455
151.62	5.2360E-10	3.1398	0.59553	0.55257	0.77457
151.64	5.2360E-10	3.1398	0.59555	0.55257	0.77458
151.67	5.2360E-10	3.1398	0.59560	0.55256	0.77461
151.68	5.2360E-10	3.1398	0.59562	0.55256	0.77462
151.70	5.2360E-10	3.1398	0.59564	0.55255	0.77463
151.72	5.2360E-10	3.1398	0.59567	0.55255	0.77465
151.74	5.2360E-10	3.1398	0.59569	0.55255	0.77466
151.76	5.2360E-10	3.1398	0.59570	0.55254	0.77467
151.78	5.2360E-10	3.1398	0.59572	0.55254	0.77468
151.80	5.2360E-10	3.1398	0.59573	0.55254	0.77469
151.81	5.2360E-10	3.1398	0.59573	0.55254	0.77469
151.81	5.2360E-10	3.1398	0.59573	0.55254	0.77469
151.81	5.2360E-10	3.1398	0.59573	0.55254	0.77469
151.81	5.2360E-10	3.1398	0.59573	0.55254	0.77469
151.81	5.2360E-10	3.1398	0.59573	0.55254	0.77469
151.81	5.2360E-10	3.1398	0.59573	0.55254	0.77469
151.81	5.2360E-10	3.1398	0.59573	0.55254	0.77469
151.81	5.2360E-10	3.1398	0.59573	0.55254	0.77469
151.81	5.2360E-10	3.1398	0.59573	0.55254	0.77469
151.81	5.2360E-10	3.1398	0.59573	0.55254	0.77469
151.81	5.2360E-10	3.1398	0.59573	0.55254	0.77469
151.81	5.2360E-10	3.1398	0.59573	0.55254	0.77469
151.81	5.2360E-10	3.1398	0.59573	0.55254	0.77469
151.81	5.2360E-10	3.1398	0.59573	0.55254	0.77469
151.81	5.2360E-10	3.1398	0.59573	0.55254	0.77469
151.81	5.2360E-10	3.1398	0.59573	0.55254	0.77469
151.81	5.2360E-10	3.1398	0.59574	0.55254	0.77469
151.82	5.2360E-10	3.1398	0.59574	0.55254	0.77469
151.82	5.2360E-10	3.1398	0.59574	0.55254	0.77469
151.82	5.2360E-10	3.1398	0.59574	0.55254	0.77470
151.82	5.2360E-10	3.1398	0.59574	0.55253	0.77470
151.83	5.2360E-10	3.1398	0.59574	0.55253	0.77470
151.83	5.2360E-10	3.1398	0.59574	0.55253	0.77470
151.83	5.2360E-10	3.1398	0.59574	0.55253	0.77470
151.84	5.2360E-10	3.1398	0.59574	0.55253	0.77470
151.84	5.2360E-10	3.1398	0.59575	0.55253	0.77470
151.84	5.2360E-10	3.1398	0.59575	0.55253	0.77470
151.85	5.2360E-10	3.1398	0.59575	0.55253	0.77470
151.86	5.2360E-10	3.1398	0.59575	0.55253	0.77471
151.87	5.2360E-10	3.1398	0.59575	0.55253	0.77471
151.88	5.2360E-10	3.1398	0.59576	0.55253	0.77471
151.89	5.2360E-10	3.1398	0.59576	0.55253	0.77471
151.90	5.2360E-10	3.1398	0.59576	0.55253	0.77471
151.91	5.2360E-10	3.1398	0.59576	0.55253	0.77472
151.93	5.2360E-10	3.1398	0.59576	0.55253	0.77472
151.94	5.2360E-10	3.1398	0.59576	0.55253	0.77472
151.96	5.2360E-10	3.1398	0.59577	0.55253	0.77472
151.98	5.2360E-10	3.1398	0.59577	0.55253	0.77472
152.02	5.2360E-10	3.1398	0.59577	0.55253	0.77472
152.06	5.2360E-10	3.1398	0.59577	0.55253	0.77472
152.08	5.2360E-10	3.1398	0.59577	0.55253	0.77472
152.10	5.2360E-10	3.1398	0.59577	0.55253	0.77472
152.13	5.2360E-10	3.1398	0.59577	0.55253	0.77472
152.15	5.2360E-10	3.1398	0.59577	0.55253	0.77472
152.17	5.2360E-10	3.1398	0.59577	0.55253	0.77472
152.20	5.2360E-10	3.1398	0.59577	0.55253	0.77472
152.24	5.2360E-10	3.1398	0.59577	0.55253	0.77472
152.29	5.2360E-10	3.1398	0.59577	0.55253	0.77472
152.33	5.2360E-10	3.1398	0.59577	0.55253	0.77472
152.38	5.2360E-10	3.1398	0.59577	0.55253	0.77472
152.47	5.2360E-10	3.1398	0.59577	0.55253	0.77472
152.56	5.2360E-10	3.1398	0.59577	0.55253	0.77472
152.74	5.2360E-10	3.1398	0.59577	0.55253	0.77472
152.93	5.2360E-10	3.1398	0.59577	0.55253	0.77472
153.11	5.2360E-10	3.1398	0.59577	0.55253	0.77472
153.27	5.2360E-10	3.1398	0.59577	0.55253	0.77472
153.42	5.2360E-10	3.1398	0.59577	0.55253	0.77472
153.57	5.2360E-10	3.1398	0.59577	0.55253	0.77472
153.72	5.2360E-10	3.1398	0.59577	0.55253	0.77472
153.86	5.2360E-10	3.1398	0.59577	0.55253	0.77472
154.01	5.2360E-10	3.1398	0.59577	0.55253	0.77472
154.16	5.2360E-10	3.1398	0.59577	0.55253	0.77472
154.45	5.2360E-10	3.1398	0.59577	0.55253	0.77472
155.05	5.2360E-10	3.1398	0.59577	0.55253	0.77472
155.64	5.2360E-10	3.1398	0.59577	0.55253	0.77472
156.82	5.2360E-10	3.1398	0.59577	0.55253	0.77472
157.41	5.2360E-10	3.1398	0.59577	0.55253	0.77472
157.71	5.2360E-10	3.1398	0.59577	0.55253	0.77472
157.86	5.2360E-10	3.1398	0.59577	0.55253	0.77472
157.93	5.2360E-10	3.1398	0.59577	0.55253	0.77472
157.97	5.2360E-10	3.1398	0.59577	0.55253	0.77472
157.98	5.2360E-10	3.1398	0.59577	0.55253	0.77472
157.99	5.2360E-10	3.1398	0.59577	0.55253	0.77472
158.00	5.2360E-10	3.1398	0.59577	0.55253	0.77472
158.00	5.2360E-10	3.1398	0.59577	0.55253	0.77472
158.00	5.2360E-10	3.1398	0.59577	0.55253	0.77472
158.00	5.2360E-10	3.1398	0.59577	0.55253	0.77472
158.01	5.2360E-10	3.1398	0.59577	0.55253	0.77472
158.01	5.2360E-10	3.1398	0.59577	0.55253	0.77472
158.01	5.2360E-10	3.1398	0.59577	0.55253	0.77472
158.01	5.2360E-10	3.1398	0.59577	0.55253	0.77472
158.01	5.2360E-10	3.1398	0.59577	0.55253	0.77472
158.01	5.2360E-10	3.1398	0.59577	0.55253	0.77472
158.01	5.2360E-10	3.1398	0.59577	0.55253	0.77472
158.01	5.2360E-10	3.1398	0.59577	0.55253	0.77472
158.01	5.2360E-10	3.1398	0.59577	0.55253	0.77472
158.01	5.2360E-10	3.1398	0.59577	0.55253	0.77472
158.02	5.2360E-10	3.1398	0.59577	0.55253	0.77472
158.02	5.2360E-10	3.1398	0.59577	0.55253	0.77472
158.02	5.2360E-10	3.1398	0.59577	0.55253	0.77472
158.02	5.2360E-10	3.1398	0.59577	0.55253	0.77472
158.03	5.2360E-10	3.1398	0.59577	0.55253	0.77472
158.03	5.2360E-10	3.1398	0.59577	0.55253	0.77472
158.03	5.2360E-10	3.1398	0.59577	0.55253	0.77472
158.04	5.2360E-10	3.1398	0.59577	0.55253	0.77472
158.04	5.2360E-10	3.1398	0.59577	0.55253	0.77472
158.05	5.2360E-10	3.1398	0.59577	0.55253	0.77472
158.05	5.2360E-10	3.1398	0.59577	0.55253	0.77472
158.06	5.2360E-10	3.1398	0.59577	0.55253	0.77472
158.07	5.2360E-10	3.1398	0.59577	0.55253	0.77472
158.08	5.2360E-10	3.1398	0.59577	0.55253	0.77472
158.09	5.2360E-10	3.1398	0.59577	0.55253	0.77472
158.10	5.2360E-10	3.1398	0.59577	0.55253	0.77473
158.11	5.2360E-10	3.1398	0.59577	0.55252	0.77473
158.14	5.2360E-10	3.1398	0.59578	0.55252	0.77473
158.16	5.2360E-10	3.1398	0.59579	0.55252	0.77473
158.19	5.2360E-10	3.1398	0.59580	0.55252	0.77473
158.22	5.2360E-10	3.1398	0.59582	0.55252	0.77474
158.25	5.2360E-10	3.1398	0.59584	0.55252	0.77474
158.30	5.2360E-10	3.1398	0.59589	0.55252	0.77476
158.34	5.2360E-10	3.1398	0.59595	0.55251	0.77478
158.40	5.2360E-10	3.1398	0.59605	0.55250	0.77481
158.45	5.2360E-10	3.1398	0.59618	0.55249	0.77485
158.53	5.2360E-10	3.1398	0.59640	0.55246	0.77493
158.60	5.2360E-10	3.1398	0.59667	0.55243	0.77503
158.70	5.2360E-10	3.1398	0.59713	0.55238	0.77520
158.80	5.2360E-10	3.1398	0.59770	0.55231	0.77542
158.89	5.2360E-10	3.1398	0.59839	0.55223	0.77568
158.99	5.2360E-10	3.1398	0.59919	0.55213	0.77599
159.04	5.2360E-10	3.1398	0.59966	0.55207	0.77618
159.09	5.2360E-10	3.1398	0.60011	0.55202	0.77636
159.14	5.2360E-10	3.1398	0.60058	0.55196	0.77655
159.23	5.2360E-10	3.1398	0.60159	0.55184	0.77696
159.30	5.2360E-10	3.1398	0.60245	0.55173	0.77730
159.37	5.2360E-10	3.1398	0.60336	0.55162	0.77766
159.45	5.2360E-10	3.1398	0.60431	0.55150	0.77805
159.59	5.2360E-10	3.1398	0.60633	0.55125	0.77886
159.67	5.2360E-10	3.1398	0.60743	0.55111	0.77931
159.74	5.2360E-10	3.1398	0.60843	0.55098	0.77972
159.87	5.2360E-10	3.1398	0.61049	0.55073	0.78056
159.99	5.2360E-10	3.1398	0.61228	0.55051	0.78129
160.10	5.2360E-10	3.1398	0.61406	0.55028	0.78201
160.22	5.2360E-10	3.1398	0.61581	0.55006	0.78273
160.45	5.2360E-10	3.1398	0.61915	0.54965	0.78409
160.68	5.2360E-10	3.1398	0.62213	0.54928	0.78532
160.91	5.2360E-10	3.1398	0.62462	0.54896	0.78635
161.14	5.2360E-10	3.1398	0.62652	0.54872	0.78715
161.35	5.2360E-10	3.1398	0.62770	0.54857	0.78766
161.40	5.2360E-10	3.1398	0.62791	0.54854	0.78776
161.45	5.2360E-10	3.1398	0.62808	0.54852	0.78783
161.49	5.2360E-10	3.1398	0.62822	0.54850	0.78790
161.53	5.2360E-10	3.1398	0.62834	0.54848	0.78795
161.56	5.2360E-10	3.1398	0.62842	0.54847	0.78799
161.59	5.2360E-10	3.1398	0.62848	0.54846	0.78802
161.62	5.2360E-10	3.1398	0.62853	0.54845	0.78804
161.64	5.2360E-10	3.1398	0.62857	0.54845	0.78806
161.67	5.2360E-10	3.1398	0.62860	0.54844	0.78808
161.69	5.2360E-10	3.1398	0.62863	0.54844	0.78809
161.71	5.2360E-10	3.1398	0.62866	0.54843	0.78811
161.72	5.2360E-10	3.1398	0.62867	0.54843	0.78811
161.74	5.2360E-10	3.1398	0.62869	0.54843	0.78812
161.76	5.2360E-10	3.1398	0.62870	0.54843	0.78813
161.77	5.2360E-10	3.1398	0.62871	0.54842	0.78814
161.79	5.2360E-10	3.1398	0.62872	0.54842	0.78814
161.81	5.2360E-10	3.1398	0.62873	0.54842	0.78815
161.84	5.2360E-10	3.1398	0.62875	0.54842	0.78816
161.86	5.2360E-10	3.1398	0.62875	0.54842	0.78816
161.87	5.2360E-10	3.1398	0.62876	0.54842	0.78817
161.88	5.2360E-10	3.1398	0.62876	0.54842	0.78817
161.90	5.2360E-10	3.1398	0.62876	0.54841	0.78817
161.91	5.2360E-10	3.1398	0.62876	0.54841	0.78817
161.93	5.2360E-10	3.1398	0.62877	0.54841	0.78818
161.94	5.2360E-10	3.1398	0.62877	0.54841	0.78818
161.95	5.2360E-10	3.1398	0.62877	0.54841	0.78818
161.96	5.2360E-10	3.1398	0.62877	0.54841	0.78818
161.97	5.2360E-10	3.1398	0.62877	0.54841	0.78818
161.99	5.2360E-10	3.1398	0.62877	0.54841	0.78818
162.01	5.2360E-10	3.1398	0.62877	0.54841	0.78818
162.02	5.2360E-10	3.1398	0.62877	0.54841	0.78818
162.03	5.2360E-10	3.1398	0.62877	0.54841	0.78818
162.05	5.2360E-10	3.1398	0.62877	0.54841	0.78818
162.06	5.2360E-10	3.1398	0.62877	0.54841	0.78818
162.08	5.2360E-10	3.1398	0.62877	0.54841	0.78818
162.09	5.2360E-10	3.1398	0.62877	0.54841	0.78818
162.11	5.2360E-10	3.1398	0.62877	0.54841	0.78818
162.12	5.2360E-10	3.1398	0.62877	0.54841	0.78818
162.14	5.2360E-10	3.1398	0.62877	0.54841	0.78818
162.15	5.2360E-10	3.1398	0.62877	0.54841	0.78818
162.17	5.2360E-10	3.1398	0.62877	0.54841	0.78818
162.18	5.2360E-10	3.1398	0.62877	0.54841	0.78818
162.19	5.2360E-10	3.1398	0.62877	0.54841	0.78818
162.21	5.2360E-10	3.1398	0.62877	0.54841	0.78818
162.22	5.2360E-10	3.1398	0.62877	0.54841	0.78818
162.24	5.2360E-10	3.1398	0.62877	0.54841	0.78818
162.25	5.2360E-10	3.1398	0.62877	0.54841	0.78818
162.27	5.2360E-10	3.1398	0.62877	0.54841	0.78818
162.28	5.2360E-10	3.1398	0.62877	0.54841	0.78818
162.31	5.2360E-10	3.1398	0.62877	0.54841	0.78818
162.34	5.2360E-10	3.1398	0.62877	0.54841	0.78818
162.37	5.2360E-10	3.1398	0.62877	0.54841	0.78818
162.40	5.2360E-10	3.1398	0.62877	0.54841	0.78818
162.43	5.2360E-10	3.1398	0.62877	0.54841	0.78818
162.46	5.2360E-10	3.1398	0.62877	0.54841	0.78818
162.52	5.2360E-10	3.1398	0.62877	0.54841	0.78818
162.57	5.2360E-10	3.1398	0.62877	0.54841	0.78818
162.63	5.2360E-10	3.1398	0.62877	0.54841	0.78818
162.69	5.2360E-10	3.1398	0.62877	0.54841	0.78818
162.81	5.2360E-10	3.1398	0.62877	0.54841	0.78818
163.04	5.2360E-10	3.1398	0.62877	0.54841	0.78818
163.27	5.2360E-10	3.1398	0.62877	0.54841	0.78818
163.74	5.2360E-10	3.1398	0.62877	0.54841	0.78818
164.68	5.2360E-10	3.1398	0.62877	0.54841	0.78818
166.54	5.2360E-10	3.1398	0.62877	0.54841	0.78818
167.10	5.2360E-10	3.1398	0.62877	0.54841	0.78818
167.77	5.2360E-10	3.1398	0.62877	0.54841	0.78818
167.96	5.2360E-10	3.1398	0.62877	0.54841	0.78818
167.98	5.2360E-10	3.1398	0.62877	0.54841	0.78818
167.99	5.2360E-10	3.1398	0.62877	0.54841	0.78818
168.00	5.2360E-10	3.1398	0.62877	0.54841	0.78818
168.01	5.2360E-10	3.1398	0.62877	0.54841	0.78818
168.01	5.2360E-10	3.1398	0.62877	0.54841	0.78818
168.01	5.2360E-10	3.1398	0.62877	0.54841	0.78818
168.01	5.2360E-10	3.1398	0.62877	0.54841	0.78818
168.02	5.2360E-10	3.1398	0.62877	0.54841	0.78818
168.02	5.2360E-10	3.1398	0.62877	0.54841	0.78818
168.02	5.2360E-10	3.1398	0.62877	0.54841	0.78818
168.02	5.2360E-10	3.1398	0.62877	0.54841	0.78818
168.03	5.2360E-10	3.1398	0.62877	0.54841	0.78818
168.03	5.2360E-10	3.1398	0.62877	0.54841	0.78818
168.04	5.2360E-10	3.1398	0.62877	0.54841	0.78818
168.04	5.2360E-10	3.1398	0.62877	0.54841	0.78818
168.04	5.2360E-10	3.1398	0.62877	0.54841	0.78818
168.05	5.2360E-10	3.1398	0.62877	0.54841	0.78818
168.06	5.2360E-10	3.1398	0.62877	0.54841	0.78818
168.07	5.2360E-10	3.1398	0.62877	0.54841	0.78818
168.08	5.2360E-10	3.1398	0.62877	0.54841	0.78818
168.10	5.2360E-10	3.1398	0.62877	0.54841	0.78818
168.11	5.2360E-10	3.1398	0.62877	0.54841	0.78818
168.13	5.2360E-10	3.1398	0.62878	0.54841	0.78818
168.15	5.2360E-10	3.1398	0.62878	0.54841	0.78818
168.18	5.2360E-10	3.1398	0.62880	0.54841	0.78819
168.21	5.2360E-10	3.1398	0.62881	0.54841	0.78819
168.24	5.2360E-10	3.1398	0.62884	0.54841	0.78820
168.27	5.2360E-10	3.1398	0.62886	0.54840	0.78820
168.33	5.2360E-10	3.1398	0.62894	0.54840	0.78823
168.38	5.2360E-10	3.1398	0.62902	0.54839	0.78825
168.43	5.2360E-10	3.1398	0.62913	0.54838	0.78829
168.48	5.2360E-10	3.1398	0.62926	0.54837	0.78833
168.53	5.2360E-10	3.1398	0.62942	0.54835	0.78838
168.63	5.2360E-10	3.1398	0.62981	0.54831	0.78851
168.72	5.2360E-10	3.1398	0.63026	0.54827	0.78867
168.76	5.2360E-10	3.1398	0.63047	0.54825	0.78874
168.80	5.2360E-10	3.1398	0.63070	0.54822	0.78882
168.83	5.2360E-10	3.1398	0.63094	0.54820	0.78891
168.87	5.2360E-10	3.1398	0.63119	0.54817	0.78900
168.94	5.2360E-10	3.1398	0.63175	0.54811	0.78920
169.00	5.2360E-10	3.1398	0.63222	0.54806	0.78937
169.05	5.2360E-10	3.1398	0.63273	0.54800	0.78956
169.11	5.2360E-10	3.1398	0.63331	0.54794	0.78977
169.17	5.2360E-10	3.1398	0.63398	0.54787	0.79001
169.24	5.2360E-10	3.1398	0.63475	0.54778	0.79029
169.31	5.2360E-10	3.1398	0.63556	0.54769	0.79059
169.38	5.2360E-10	3.1398	0.63647	0.54759	0.79093
169.46	5.2360E-10	3.1398	0.63743	0.54749	0.79128
169.53	5.2360E-10	3.1398	0.63843	0.54738	0.79165
169.68	5.2360E-10	3.1398	0.64053	0.54715	0.79243
169.76	5.2360E-10	3.1398	0.64172	0.54702	0.79287
169.83	5.2360E-10	3.1398	0.64280	0.54690	0.79328
169.97	5.2360E-10	3.1398	0.64499	0.54666	0.79409
170.09	5.2360E-10	3.1398	0.64689	0.54645	0.79480
170.21	5.2360E-10	3.1398	0.64876	0.54625	0.79550
170.34	5.2360E-10	3.1398	0.65058	0.54605	0.79618
170.58	5.2360E-10	3.1398	0.65395	0.54568	0.79744
170.83	5.2360E-10	3.1398	0.65682	0.54536	0.79852
171.05	5.2360E-10	3.1398	0.65885	0.54514	0.79929
171.25	5.2360E-10	3.1398	0.66020	0.54498	0.79982
171.45	5.2360E-10	3.1398	0.66110	0.54488	0.80017
171.62	5.2360E-10	3.1398	0.66154	0.54483	0.80036
171.72	5.2360E-10	3.1398	0.66167	0.54481	0.80042
171.81	5.2360E-10	3.1398	0.66174	0.54480	0.80045
171.90	5.2360E-10	3.1398	0.66176	0.54479	0.80047
171.91	5.2360E-10	3.1398	0.66176	0.54479	0.80047
171.91	5.2360E-10	3.1398	0.66177	0.54479	0.80047
171.92	5.2360E-10	3.1398	0.66177	0.54479	0.80047
171.93	5.2360E-10	3.1398	0.66177	0.54479	0.80047
171.94	5.2360E-10	3.1398	0.66177	0.54479	0.80047
171.95	5.2360E-10	3.1398	0.66177	0.54479	0.80047
171.96	5.2360E-10	3.1398	0.66177	0.54479	0.80047
171.97	5.2360E-10	3.1398	0.66177	0.54479	0.80047
171.98	5.2360E-10	3.1398	0.66177	0.54479	0.80047
171.99	5.2360E-10	3.1398	0.66177	0.54479	0.80047
172.00	5.2360E-10	3.1398	0.66177	0.54479	0.80047
172.02	5.2360E-10	3.1398	0.66177	0.54479	0.80048
172.03	5.2360E-10	3.1398	0.66177	0.54479	0.80048
172.04	5.2360E-10	3.1398	0.66177	0.54479	0.80048
172.05	5.2360E-10	3.1398	0.66177	0.54479	0.80048
172.06	5.2360E-10	3.1398	0.66177	0.54479	0.80048
172.07	5.2360E-10	3.1398	0.66177	0.54479	0.80048
172.08	5.2360E-10	3.1398	0.66177	0.54479	0.80048
172.10	5.2360E-10	3.1398	0.66177	0.54479	0.80048
172.11	5.2360E-10	3.1398	0.66177	0.54479	0.80048
172.12	5.2360E-10	3.1398	0.66177	0.54479	0.80048
172.13	5.2360E-10	3.1398	0.66177	0.54479	0.80048
172.14	5.2360E-10	3.1398	0.66177	0.54479	0.80048
172.15	5.2360E-10	3.1398	0.66177	0.54479	0.80048
172.17	5.2360E-10	3.1398	0.66177	0.54479	0.80048
172.18	5.2360E-10	3.1398	0.66177	0.54479	0.80048
172.19	5.2360E-10	3.1398	0.66177	0.54479	0.80048
172.21	5.2360E-10	3.1398	0.66177	0.54479	0.80048
172.23	5.2360E-10	3.1398	0.66177	0.54479	0.80048
172.26	5.2360E-10	3.1398	0.66177	0.54479	0.80048
172.28	5.2360E-10	3.1398	0.66177	0.54479	0.80048
172.30	5.2360E-10	3.1398	0.66177	0.54479	0.80048
172.33	5.2360E-10	3.1398	0.66177	0.54479	0.80048
172.37	5.2360E-10	3.1398	0.66177	0.54479	0.80048
172.42	5.2360E-10	3.1398	0.66177	0.54479	0.80048
172.46	5.2360E-10	3.1398	0.66177	0.54479	0.80048
172.56	5.2360E-10	3.1398	0.66177	0.54479	0.80048
172.74	5.2360E-10	3.1398	0.66177	0.54479	0.80048
172.93	5.2360E-10	3.1398	0.66177	0.54479	0.80048
173.29	5.2360E-10	3.1398	0.66177	0.54479	0.80048
174.03	5.2360E-10	3.1398	0.66177	0.54479	0.80048
175.50	5.2360E-10	3.1398	0.66177	0.54479	0.80048
176.24	5.2360E-10	3.1398	0.66177	0.54479	0.80048
177.71	5.2360E-10	3.1398	0.66177	0.54479	0.80048
177.82	5.2360E-10	3.1398	0.66177	0.54479	0.80048
177.96	5.2360E-10	3.1398	0.66177	0.54479	0.80048
177.99	5.2360E-10	3.1398	0.66177	0.54479	0.80048
178.00	5.2360E-10	3.1398	0.66177	0.54479	0.80048
178.01	5.2360E-10	3.1398	0.66177	0.54479	0.80048
178.01	5.2360E-10	3.1398	0.66177	0.54479	0.80048
178.02	5.2360E-10	3.1398	0.66177	0.54479	0.80048
178.02	5.2360E-10	3.1398	0.66177	0.54479	0.80048
178.02	5.2360E-10	3.1398	0.66177	0.54479	0.80048
178.02	5.2360E-10	3.1398	0.66177	0.54479	0.80048
178.03	5.2360E-10	3.1398	0.66177	0.54479	0.80048
178.03	5.2360E-10	3.1398	0.66177	0.54479	0.80048
178.03	5.2360E-10	3.1398	0.66177	0.54479	0.80048
178.04	5.2360E-10	3.1398	0.66177	0.54479	0.80048
178.04	5.2360E-10	3.1398	0.66177	0.54479	0.80048
178.05	5.2360E-10	3.1398	0.66177	0.54479	0.80048
178.06	5.2360E-10	3.1398	0.66177	0.54479	0.80048
178.07	5.2360E-10	3.1398	0.66177	0.54479	0.80048
178.08	5.2360E-10	3.1398	0.66177	0.54479	0.80048
178.10	5.2360E-10	3.1398	0.66177	0.54479	0.80048
178.12	5.2360E-10	3.1398	0.66178	0.54479	0.80048
178.14	5.2360E-10	3.1398	0.66178	0.54479	0.80048
178.17	5.2360E-10	3.1398	0.66179	0.54479	0.80048
178.19	5.2360E-10	3.1398	0.66180	0.54479	0.80048
178.22	5.2360E-10	3.1398	0.66182	0.54479	0.80049
178.26	5.2360E-10	3.1398	0.66185	0.54479	0.80049
178.29	5.2360E-10	3.1398	0.66189	0.54478	0.80050
178.34	5.2360E-10	3.1398	0.66196	0.54478	0.80052
178.39	5.2360E-10	3.1398	0.66204	0.54477	0.80055
178.46	5.2360E-10	3.1398	0.66219	0.54476	0.80059
178.52	5.2360E-10	3.1398	0.66238	0.54474	0.80065
178.61	5.2360E-10	3.1398	0.66270	0.54471	0.80075
178.69	5.2360E-10	3.1398	0.66310	0.54468	0.80087
178.78	5.2360E-10	3.1398	0.66358	0.54463	0.80103
178.86	5.2360E-10	3.1398	0.66414	0.54458	0.80122
178.95	5.2360E-10	3.1398	0.66480	0.54452	0.80143
178.99	5.2360E-10	3.1398	0.66520	0.54448	0.80157
179.04	5.2360E-10	3.1398	0.66559	0.54444	0.80170
179.08	5.2360E-10	3.1398	0.66599	0.54440	0.80183
179.16	5.2360E-10	3.1398	0.66687	0.54432	0.80213
179.23	5.2360E-10	3.1398	0.66761	0.54425	0.80238
179.30	5.2360E-10	3.1398	0.66840	0.54417	0.80264
179.37	5.2360E-10	3.1398	0.66923	0.54409	0.80293
179.50	5.2360E-10	3.1398	0.67101	0.54392	0.80353
179.56	5.2360E-10	3.1398	0.67183	0.54384	0.80381
179.62	5.2360E-10	3.1398	0.67269	0.54375	0.80410
179.74	5.2360E-10	3.1398	0.67444	0.54358	0.80470
179.84	5.2360E-10	3.1398	0.67607	0.54342	0.80526
179.95	5.2360E-10	3.1398	0.67775	0.54326	0.80583
180.06	5.2360E-10	3.1398	0.67943	0.54310	0.80640
180.17	5.2360E-10	3.1398	0.68110	0.54294	0.80697
180.39	5.2360E-10	3.1398	0.68431	0.54263	0.80807
180.61	5.2360E-10	3.1398	0.68723	0.54234	0.80907
180.82	5.2360E-10	3.1398	0.68975	0.54210	0.80994
181.04	5.2360E-10	3.1398	0.69178	0.54190	0.81064
181.26	5.2360E-10	3.1398	0.69325	0.54175	0.81116
181.46	5.2360E-10	3.1398	0.69412	0.54166	0.81148
181.58	5.2360E-10	3.1398	0.69446	0.54163	0.81161
181.71	5.2360E-10	3.1398	0.69466	0.54160	0.81169
181.79	5.2360E-10	3.1398	0.69473	0.54160	0.81172
181.87	5.2360E-10	3.1398	0.69476	0.54159	0.81173
