% Model:              first_sketch_v06__sigmasweep_adaptivemesh_179.9CA.mph
% Version:            COMSOL 5.4.0.388
% Date:               Jul 31 2021, 19:02
% Dimension:          2
% Nodes:              366
% Expressions:        24
% Description:        Entity index, r-coordinate, z-coordinate
% Length unit:        mm
% r                       z                        dom @ t=157              r (mm) @ t=157           z (mm) @ t=157           dom @ t=167              r (mm) @ t=167           z (mm) @ t=167           dom @ t=177              r (mm) @ t=177           z (mm) @ t=177           dom @ t=187              r (mm) @ t=187           z (mm) @ t=187           dom @ t=197              r (mm) @ t=197           z (mm) @ t=197           dom @ t=207              r (mm) @ t=207           z (mm) @ t=207           dom @ t=217              r (mm) @ t=217           z (mm) @ t=217           dom @ t=227              r (mm) @ t=227           z (mm) @ t=227
0                         0                        1                        0                        0                        1                        0                        0                        1                        0                        0                        1                        0                        0                        1                        0                        0                        1                        0                        0                        1                        0                        0                        1                        0                        0
0                         0.03235841820533152      1                        0                        0.03235841820533152      1                        0                        0.0331500651514419       1                        0                        0.033877558124431426     1                        0                        0.0344914610622311       1                        0                        0.034975850980055054     1                        0                        0.03533969062266528      1                        0                        0.03560115504208818      1                        0                        0.03577904445151888
0                         0.06801896340165764      1                        0                        0.06801896340165764      1                        0                        0.06966801462519293      1                        0                        0.07118072499629803      1                        0                        0.07246122726542789      1                        0                        0.07348015141492374      1                        0                        0.07425575551613948      1                        0                        0.07482392736749618      1                        0                        0.07522188826950861
0                         0.1069368994083121       1                        0                        0.1069368994083121       1                        0                        0.1094887239943189       1                        0                        0.1118231481349482       1                        0                        0.11380931029280052      1                        0                        0.1154107710285962       1                        0                        0.11665501131880203      1                        0                        0.1175930329305561       1                        0                        0.11827779095554083
0                         0.1476504326120122       1                        0                        0.1476504326120122       1                        0                        0.15110000786859118      1                        0                        0.1542463105245822       1                        0                        0.15694026714041118      1                        0                        0.15914606886294194      1                        0                        0.160899867408845        1                        0                        0.1622639377180755       1                        0                        0.16330276406061897
0                         0.19015127801421702      1                        0                        0.19015127801421702      1                        0                        0.19448451117111534      1                        0                        0.19842651836338865      1                        0                        0.20182567011418207      1                        0                        0.20465279942591424      1                        0                        0.20695202005513896      1                        0                        0.20879355764034843      1                        0                        0.21024968279990908
0                         0.23465412575732897      1                        0                        0.23465412575732897      1                        0                        0.2398583291797732       1                        0                        0.2445839432853528       1                        0                        0.24868898625903604      1                        0                        0.2521546121591507       1                        0                        0.25503200880076765      1                        0                        0.2573968108956386       1                        0                        0.2593262312934653
0                         0.2819392282727709       1                        0                        0.2819392282727709       1                        0                        0.28801639613665025      1                        0                        0.29352918859652105      1                        0                        0.2983541499694733       1                        0                        0.30248481633088653      1                        0                        0.30597856549902236      1                        0                        0.3089145733787674       1                        0                        0.31137294214674494
0                         0.3326920518358302       1                        0                        0.3326920518358302       1                        0                        0.3396570066282248       1                        0                        0.3459738597250604       1                        0                        0.351543966891804        1                        0                        0.3563744101343036       1                        0                        0.36052800998986584      1                        0                        0.3640861012894197       1                        0                        0.36713015252031944
0                         0.38101529432725934      1                        0                        0.38101529432725934      1                        0                        0.38878679497735275      1                        0                        0.3958378616705963       1                        0                        0.4020955939813587       1                        0                        0.4075797044674807       1                        0                        0.4123573797303432       1                        0                        0.4165110063699048       1                        0                        0.42012227542841596
