% Model:              first_sketch_v06__sigmasweep_adaptivemesh_179.9CA.mph
% Version:            COMSOL 5.4.0.388
% Date:               Jul 31 2021, 19:02
% Dimension:          2
% Nodes:              334
% Expressions:        9
% Description:        Entity index, r-coordinate, z-coordinate
% Length unit:        mm
% r                       z                        dom @ t=47               r (mm) @ t=47            z (mm) @ t=47            dom @ t=57               r (mm) @ t=57            z (mm) @ t=57            dom @ t=67               r (mm) @ t=67            z (mm) @ t=67
0                         0.4618659801073642       1                        0                        0.4618659801073642       1                        0                        0.5094136218034607       1                        0                        0.550482113364533
0                         0.471028409449617        1                        0                        0.471028409449617        1                        0                        0.5195663044536228       1                        0                        0.5615970531176534
0                         0.45192471555222913      1                        0                        0.45192471555222913      1                        0                        0.49839973490280515      1                        0                        0.5384304690050338
0                         0.4409722857742212       1                        0                        0.4409722857742212       1                        0                        0.4862678252090442       1                        0                        0.5251629161312763
0                         0.4289056004169004       1                        0                        0.4289056004169004       1                        0                        0.47290447349495995      1                        0                        0.5105578048188908
0                         0.415611010749888        1                        0                        0.415611010749888        1                        0                        0.4581847904394147       1                        0                        0.4944815813660685
0                         0.40096322312654736      1                        0                        0.40096322312654736      1                        0                        0.44197127317030516      1                        0                        0.47678769791663345
0                         0.3848240977651424       1                        0                        0.3848240977651424       1                        0                        0.42411254734116643      1                        0                        0.4573154319621345
0                         0.36704132492078545      1                        0                        0.36704132492078545      1                        0                        0.4044419882771347       1                        0                        0.4358886174066179
0                         0.347446970400416        1                        0                        0.347446970400416        1                        0                        0.3827762100696386       1                        0                        0.4123142775508671
0                         0.3258558739739159       1                        0                        0.3258558739739159       1                        0                        0.35891340314948056      1                        0                        0.3863811417241967
0                         0.3020638932552122       1                        0                        0.3020638932552122       1                        0                        0.3326315020878648       1                        0                        0.35785801636859177
0                         0.27584599023169737      1                        0                        0.27584599023169737      1                        0                        0.30368616285875055      1                        0                        0.32649196006441733
0                         0.24695415462630282      1                        0                        0.24695415462630282      1                        0                        0.2718085137078896       1                        0                        0.292006157283613
0                         0.21511517131985075      1                        0                        0.21511517131985075      1                        0                        0.23670262208402007      1                        0                        0.25409726346079325
0                         0.18002826120806276      1                        0                        0.18002826120806276      1                        0                        0.19804262715318205      1                        0                        0.21243185635932108
0                         0.14136264294351525      1                        0                        0.14136264294351525      1                        0                        0.15546942081227147      1                        0                        0.16664121424323863
0                         0.09875509301643473      1                        0                        0.09875509301643473      1                        0                        0.10858678797409435      1                        0                        0.11631336568215694
0                         0.05180750977212933      1                        0                        0.05180750977212933      1                        0                        0.05695650532129979      1                        0                        0.06098008058983741
0                         0                        1                        0                        0                        1                        0                        0                        1                        0                        0
0.04921068407825229       0                        2                        0.04921068407825229      0                        2                        0.04695998589807138      0                        2                        0.04508862821174885      0
0                         0                        2                        0                        0                        2                        0                        0                        2                        0                        0
0.09838523541904973       0                        2                        0.09838523541904973      0                        2                        0.09384935305202656      0                        2                        0.09006507181330888      0
