<Group>
Detector1
10
76		76		76		76		76		76		76		76		76		76	
oct19_1946_2vpp_350rpm_2000cyc_1st	T637388969571434972	oct19_1957_2vpp_300rpm_2000cyc_1st	T637388969571434973	oct19_2010_2vpp_400rpm_4000cyc_1st	T637388969571434974	oct19_2347_2vpp_450rpm_8000cyc_1st	T637388969571434975	oct20_1422_2vpp_400rpm_4000cyc_1st	T637388969571434976	oct20_1529_2vpp_450rpm_8000cyc_1st	T637388969571434977	oct20_1715_2vpp_500rpm_12000cyc_1st	T637388969571434978	oct20_1800_2vpp_500rpm_12000cyc_1st	T637388969571434979	oct20_2010_2vpp_550rpm_60000cyc_1st	T637388969571434980	oct20_2215_2vpp_550rpm_54000cyc_1st	T637388969571434982
X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y
610	1139.07336	610	3017.5144	610	921.0479	610	1158.07581	610	1477.12329	610	1450.11877	610	872.042969	610	882.043945	610	1228.08521	610	1443.11768
612	1180.07874	612	2800.443	612	933.0492	612	1188.07971	612	1451.119	612	1317.098	612	948.0508	612	1003.05682	612	1179.07849	612	1435.11633
614	1117.07056	614	2775.435	614	951.0511	614	1101.06848	614	1433.11609	614	1331.1001	614	909.0467	614	919.0477	614	1202.08167	614	1294.0946
616	1069.06458	616	2570.37329	616	835.039368	616	1024.0592	616	1347.10254	616	1247.08789	616	841.04	616	912.047	616	1119.0708	616	1238.08655
618	1049.06213	618	2490.35034	618	876.043335	618	1022.059	618	1360.10449	618	1269.091	618	837.0396	618	909.0467	618	1068.06445	618	1190.08
620	1010.05762	620	2387.322	620	839.0398	620	991.0555	620	1162.07629	620	1252.08862	620	857.0415	620	849.0407	620	1031.06	620	1238.08655
622	952.0512	622	2281.294	622	803.036438	622	985.0548	622	1209.08264	622	1210.08276	622	824.0384	622	840.039856	622	1047.06189	622	1192.08032
624	973.053467	624	2081.24463	624	791.035339	624	989.0553	624	1220.08411	624	1113.07	624	833.0392	624	847.0405	624	1000.05652	624	1121.071
626	924.0482	626	2057.239	626	757.032349	626	905.046265	626	1168.077	626	1150.07471	626	863.042053	626	856.0414	626	1040.06116	626	1137.073
628	863.042053	628	1929.21033	628	734.030457	628	852.041	628	1132.07239	628	1178.07837	628	787.035	628	840.039856	628	969.05304	628	1030.05994
