<Group>																							
Detector1																							
32																							
76		76		76		76		76		76		76		76		76		76		76		76	
oct07_1157_1.25vpp_300rpm_200cyc_1st	T637376758107053729	oct07_1157_1.25vpp_300rpm_200cyc_2nd	T637376758107055065	oct08_0019_1.25vpp_300rpm_600cyc_1st	T637376758107054175	oct08_0019_1.25vpp_300rpm_600cyc_2nd	T637376758107054620	oct08_0043_1.25vpp_300rpm_1000cyc_1st	T637376758107055510	oct08_0043_1.25vpp_300rpm_1000cyc_2nd	T637376758107055955	oct08_0043_1.25vpp_300rpm_1000cyc_3rd	T637376758107056400	oct08_0112_1.25vpp_500rpm_4000cyc_1st	T637376758107056845	oct08_0112_1.25vpp_500rpm_4000cyc_2nd	T637376758107057290	oct08_0112_1.25vpp_500rpm_4000cyc_3rd	T637376758107057735	oct08_0234_1.25vpp_400rpm_4000cyc_1st	T637376758107059070	oct08_0234_1.25vpp_400rpm_4000cyc_2nd	T637376758107059515
X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y
598	1504.12781	598	1498.12683	598	2157.263	598	2169.26587	598	5041.43555	598	4982.40234	598	5089.46338	598	1082.06616	598	963.0524	598	1055.06287	598	2189.27075	598	2350.312
600	1364.1051	600	1403.11121	600	2078.244	600	2024.23145	600	4581.18555	600	4407.097	600	4491.13965	600	899.045654	600	957.051758	600	959.051941	600	2159.26343	600	2146.26025
602	1276.092	602	1305.09619	602	1876.19885	602	1944.2135	602	4114.95654	602	4117.958	602	4161.97852	602	888.044556	602	898.0456	602	890.044739	602	1982.22192	602	1952.21533
604	1204.08191	604	1271.09131	604	1731.16931	604	1761.17529	604	3846.836	604	3767.802	604	3805.81836	604	912.047	604	862.042	604	927.0486	604	1882.2002	604	1823.18774
606	1155.07544	606	1221.08423	606	1651.154	606	1557.137	606	3661.75757	606	3511.69678	606	3710.77783	606	888.044556	606	833.0392	606	877.043457	606	1804.184	606	1791.18127
608	1163.07642	608	1118.07068	608	1613.147	608	1655.15479	608	3357.637	608	3486.68677	608	3346.63281	608	870.0428	608	826.0386	608	802.0363	608	1674.15833	608	1713.16577
610	1113.07	610	1120.07092	610	1478.12341	610	1509.12866	610	3240.59326	610	3243.59424	610	3129.55322	610	749.0317	610	826.0386	610	805.0366	610	1620.14832	610	1542.1344
612	1118.07068	612	1109.06946	612	1528.132	612	1520.13049	612	3112.54736	612	3109.54614	612	3085.53784	612	823.038269	612	837.0396	612	825.038452	612	1552.13611	612	1582.14148
614	1009.05756	614	1058.06323	614	1390.10913	614	1417.1134	614	2968.4978	614	2965.49683	614	3039.522	614	724.0296	614	762.032837	614	793.0355	614	1582.14148	614	1465.12122
616	982.0545	616	1019.05865	616	1311.09717	616	1326.09937	616	2682.40649	616	2810.44629	616	2782.43726	616	702.027832	616	790.0353	616	739.0309	616	1377.10718	616	1384.10828
618	999.0564	618	1040.06116	618	1323.09888	618	1249.08813	618	2569.373	618	2636.39258	618	2714.41626	618	723.029541	618	744.03125	618	659.024536	618	1400.11072	618	1370.10608
620	987.055054	620	933.0492	620	1291.09412	620	1278.09229	620	2513.357	620	2579.376	620	2477.34668	620	677.0259	620	728.029968	620	705.0281	620	1358.10425	620	1286.09351
622	902.045959	622	922.048035	622	1229.08533	622	1147.07434	622	2429.3335	622	2347.31128	622	2399.3252	622	757.032349	622	684.0264	622	693.027161	622	1270.09119	622	1257.08923
624	886.0444	624	945.0505	624	1211.08289	624	1108.06934	624	2295.29761	624	2269.291	624	2318.30371	624	709.0284	624	732.0303	624	724.0296	624	1269.091	624	1186.07947
626	846.040466	626	856.0414	626	1115.07019	626	1094.06763	626	2247.2854	626	2151.26147	626	2156.2627	626	721.029358	626	713.028748	626	681.0262	626	1108.06934	626	1151.07483
628	866.042358	628	828.038757	628	1069.06458	628	1060.06348	628	2128.25586	628	2115.25269	628	2015.22949	628	702.027832	628	659.024536	628	626.022156	628	1126.07166	628	1126.07166
630	822.0382	630	865.0423	630	1063.06384	630	1062.06372	630	1951.21509	630	1915.20728	630	1976.22058	630	706.028137	630	624.022	630	663.024841	630	1054.06274	630	1097.068
632	819.0379	632	833.0392	632	940.0499	632	997.056152	632	1843.19189	632	1760.175	632	1807.18457	632	619.021667	632	682.0263	632	647.0237	632	1032.06018	632	1011.05774
