date	label	vpp	rpm	cycles	id	vol_per_droplet	droplet_diameter	rel_error
oct08	0234	1.25	400.0	4000.0	2nd	17.338546292375277	32.11229563014547	0.21498590178000498
oct07	1157	1.25	300.0	200.0	1st	164.19138341712076	67.93870221483073	0.342196847677201
oct07	1157	1.25	300.0	200.0	2nd	165.20879583061273	68.07874082124891	0.3193914474142504
oct08	0019	1.25	300.0	600.0	1st	100.90813958227645	57.76204036005026	0.1587565347051491
oct08	0019	1.25	300.0	600.0	2nd	100.60800278448176	57.70471518395928	0.2032269361847306
oct08	0043	1.25	300.0	1000.0	1st	179.37043979287395	69.9708930449512	0.06706233982410044
oct08	0043	1.25	300.0	1000.0	2nd	179.49027560289645	69.9864718884319	0.08643528294798812
oct08	0043	1.25	300.0	1000.0	3rd	180.27170125581745	70.08788880555402	0.05302469786036484
oct08	0112	1.25	500.0	4000.0	1st	3.6988952558622197	19.187768511039312	0.9048655929538649
oct08	0112	1.25	500.0	4000.0	2nd	3.6936593990676365	19.17871068506812	0.8192494361824324
oct08	0112	1.25	500.0	4000.0	3rd	3.8071990032885896	19.37324267465768	0.8555794585681116
oct08	0234	1.25	400.0	4000.0	1st	17.112823115068405	31.97233437900631	0.1495190685319565
oct08	0234	1.25	400.0	4000.0	2nd	17.338546292375277	32.11229563014547	0.21498590178000498
