% Model:              2D_2018_fixed_bottom_liquid__voltage_sweeps__2_wd_0p8mps.mph
% Version:            COMSOL 5.4.0.388
% Date:               Jun 25 2021, 16:20
% Table:              Probe Table 6 - 
% Time (s)               y-fluid_thickness (mm), droplet_gap
0                        0.10000000201642592
2.34375E-5               0.09999999900978887
4.6875E-5                0.09999997560185833
9.375E-5                 0.09999974394589135
1.875E-4                 0.09999773442228697
2.8125000000000003E-4    0.09999338882077076
4.6875000000000004E-4    0.09996930623391506
6.5625E-4                0.09992400165351667
0.00103125               0.09970488236326269
0.00140625               0.0993163370341288
0.00215625               0.0975715394517223
0.00290625               0.09460322507640583
0.0036562499999999998    0.09018667649510897
0.005156249999999999     0.07739350895086738
0.005156249999999999     0.07739350895086738
0.006656249999999999     0.05364138292486943
0.006656249999999999     0.05364138292486943
0.00752240406505196      0.03713733036893535
0.00752240406505196      0.03712671025408749
0.007955481097577941     0.028206760767602364
0.007955481097577941     0.028196528673241333
0.008388558130103922     0.018784916983694694
0.008388558130103922     0.018789405068681247
0.008605096646366913     0.014046720772023426
0.008605096646366913     0.014041974398713419
0.008821635162629904     0.009466168905242732
0.008821635162629904     0.009464647404716035
0.008929904420761399     0.007303502025528957
0.008929904420761399     0.007303518363732751
0.009038173678892893     0.005403818882802457
0.009038173678892893     0.0054040098585589336
0.009254712195155885     0.0033168721670986945
0.009254712195155885     0.0033168827755871745
0.009385830643896935     0.0025997316532599436
0.009385830643896935     0.0025996757047948987
0.00945138986826746      0.002285094969449713
0.009516949092637986     0.002032365048850425
0.009516949092637986     0.0020323728386335664
0.009648067541379037     0.0017841029377641156
0.009648067541379037     0.0017846360737248414
0.009713626765749562     0.0016814183558446633
0.009779185990120088     0.0015954792096438235
0.009779185990120088     0.001593754705953368
0.009910304438861138     0.0015177112853599628
0.009910304438861138     0.0015176723298670515
0.009975863663231664     0.001467946437495437
0.01004142288760219      0.001426336649960197
0.010106982111972715     0.001403855813174315
0.010106982111972715     0.001403795945163159
0.010238100560713765     0.0014684520299010524
0.010238100560713765     0.0014654446372228472
0.010500337458195867     0.00170113149166283
0.010500337458195867     0.0017012257553274124
0.010631455906936918     0.0017478087204979807
0.010762574355677968     0.001791430876175136
0.010762574355677968     0.0017917523435504248
0.01099858756341186      0.0019086606303829814
0.01099858756341186      0.0019068711997944666
0.011470613978879643     0.002249210493709443
0.011470613978879643     0.00224469198862199
0.011706627186613534     0.0022957627221339635
0.011942640394347425     0.0023521670966487537
0.011942640394347425     0.002351318326505609
0.01236746416826843      0.0024387118734725023
0.01236746416826843      0.0024377969090631432
0.01321711171611044      0.002817385230222298
0.01321711171611044      0.0028178932135291927
0.013641935490031445     0.0028774667293271494
0.01406675926395245      0.002983196272411757
0.01406675926395245      0.0029837950184311013
0.01483144205701026      0.00327036243083674
0.01483144205701026      0.003270587489743581
0.016360807643125877     0.0035905498328857484
0.016360807643125877     0.0035875707314683702
0.017125490436183687     0.003620659222202619
0.017125490436183687     0.003616441738327897
0.018654856022299306     0.0037530188455171636
0.018654856022299306     0.0037545753570761287
0.019419538815357115     0.003721579263484334
0.020184221608414925     0.0037515887653808214
0.020184221608414925     0.003772219544683625
0.021713587194530544     0.003886214065793557
0.021713587194530544     0.0038577924081277352
0.022478269987588353     0.0039535181066570856
0.023242952780646163     0.0040382144202546
0.023242952780646163     0.0040421595143107225
0.02461938180815022      0.004135522609686158
0.02461938180815022      0.004130423846574784
0.027372239863158333     0.004391599701719564
0.027372239863158333     0.004392050756361985
0.02874866889066239      0.004433167860198699
0.030125097918166446     0.00450618241718383
0.030125097918166446     0.0045072894157569335
0.0315015269456705       0.004622110758775982
0.032877955973174555     0.004709600643103707
0.032877955973174555     0.0047098364604112285
0.03563081402818267      0.004892636052495226
0.03563081402818267      0.004894009639675855
0.041136530138198894     0.005248304742269845
0.041136530138198894     0.005248264704970848
0.051136530138198896     0.005778649958956567
0.051136530138198896     0.005778989455850706
0.056136530138198894     0.005973594377549178
0.056136530138198894     0.005973638198519902
0.0661365301381989       0.006362057901134182
0.0661365301381989       0.006361892938621348
0.07613653013819889      0.00667933863913138
0.07613653013819889      0.006679662774200425
0.08613653013819889      0.006956069599093218
0.09613653013819888      0.007164872869906171
0.09613653013819888      0.00716478859821585
0.10613653013819888      0.007345164535582389
0.11613653013819887      0.0074901726059410124
0.12613653013819887      0.0076113560020718216
0.13613653013819887      0.007702838004357802
0.14613653013819888      0.007775764514906906
0.1561365301381989       0.007837177931162113
0.1661365301381989       0.007876778663781434
0.1661365301381989       0.007875660004113064
0.1761365301381989       0.007975990592656423
0.18613653013819892      0.00803310721816811
0.19613653013819893      0.008070743368073473
0.20613653013819894      0.008092585866914352
0.21613653013819895      0.008111219981895863
0.22613653013819895      0.008126612879276202
0.23613653013819896      0.008140033127631945
0.24613653013819897      0.008151689242776646
0.256136530138199        0.008160954370213611
0.266136530138199        0.00816895098129048
0.276136530138199        0.00817517678300796
0.286136530138199        0.008180805246900836
0.296136530138199        0.00818502712583713
0.306136530138199        0.00818856845459905
0.31613653013819903      0.008191256733356203
0.32613653013819904      0.00819338787772959
0.33613653013819905      0.008195160280537878
0.34613653013819906      0.008196381787600477
0.35613653013819907      0.008197411734682091
0.3661365301381991       0.008198131959179754
0.3761365301381991       0.00819845899309446
0.3861365301381991       0.00819923829630453
0.3961365301381991       0.00819877854884351
0.4061365301381991       0.008201090070283478
0.4161365301381991       0.008202240671434293
0.42613653013819913      0.008200294213810307
0.43613653013819914      0.008200400712886791
0.44613653013819915      0.008198927040813965
