% Model:              2D_2018_fixed_bottom_liquid__voltage_sweeps__2_wd_0p8mps.mph
% Version:            COMSOL 5.4.0.388
% Date:               Jun 25 2021, 16:20
% Table:              Probe Table 5 - 
% Time (s)               Spatial coordinate x (mm), x_center_of_mass
0                        27.00000038481005
2.34375E-5               27.00000023368457
4.6875E-5                26.99999992640373
9.375E-5                 26.999998670954326
1.875E-4                 26.999993540617293
2.8125000000000003E-4    26.99998578013622
4.6875000000000004E-4    26.999960043457065
6.5625E-4                26.99992453119679
0.00103125               26.9998188151797
0.00140625               26.9996828914555
0.00215625               26.999324802755552
0.00290625               26.998912090750203
0.0036562499999999998    26.998473296525667
0.005156249999999999     26.99760821727116
0.005156249999999999     26.997610048541183
0.006656249999999999     26.99693056575637
0.006656249999999999     26.996931952871943
0.00752240406505196      26.996608356734278
0.00752240406505196      26.996607945267183
0.007955481097577941     26.99646207951033
0.007955481097577941     26.996459620605112
0.008388558130103922     26.996328097676223
0.008388558130103922     26.99632661147954
0.008605096646366913     26.99626381272034
0.008605096646366913     26.996263717424544
0.008821635162629904     26.99620274408374
0.008821635162629904     26.99620198661015
0.008929904420761399     26.996171542004372
0.008929904420761399     26.996169734078375
0.009038173678892893     26.996138955803243
0.009038173678892893     26.996137727179203
0.009254712195155885     26.996071052681344
0.009254712195155885     26.996070919172592
0.009385830643896935     26.99602719707281
0.009385830643896935     26.996027898403774
0.00945138986826746      26.996004934102597
0.009516949092637986     26.9959810648473
0.009516949092637986     26.995980546261872
0.009648067541379037     26.99592873579896
0.009648067541379037     26.99592753288903
0.009713626765749562     26.995900277469207
0.009779185990120088     26.99587196032443
0.009779185990120088     26.995873336366195
0.009910304438861138     26.9958122233733
0.009910304438861138     26.99581185458217
0.009975863663231664     26.995779930543844
0.01004142288760219      26.995746980270184
0.010106982111972715     26.995713021646438
0.010106982111972715     26.99571222362919
0.010238100560713765     26.99564047429493
0.010238100560713765     26.995642295492264
0.010500337458195867     26.995486516135042
0.010500337458195867     26.995487515270085
0.010631455906936918     26.99540658402539
0.010762574355677968     26.995323092016452
0.010762574355677968     26.99532180426786
0.01099858756341186      26.99516402108141
0.01099858756341186      26.99516342002196
0.011470613978879643     26.994821856023155
0.011470613978879643     26.994823469058083
0.011706627186613534     26.99464578352979
0.011942640394347425     26.9944626378521
0.011942640394347425     26.994458270236095
0.01236746416826843      26.994115052196804
0.01236746416826843      26.99411665147062
0.01321711171611044      26.993405550524106
0.01321711171611044      26.993405967305875
0.013641935490031445     26.993044010887143
0.01406675926395245      26.99267815344
0.01406675926395245      26.99267868290856
0.01483144205701026      26.992012663303083
0.01483144205701026      26.992012218051734
0.016360807643125877     26.99065330343725
0.016360807643125877     26.99065092696874
0.017125490436183687     26.98995746180031
0.017125490436183687     26.98995816021
0.018654856022299306     26.98853188253045
0.018654856022299306     26.98852717276765
0.019419538815357115     26.987800817992188
0.020184221608414925     26.98706536598788
0.020184221608414925     26.98706935519582
0.021713587194530544     26.98557993237693
0.021713587194530544     26.98557754713886
0.022478269987588353     26.98482731664388
0.023242952780646163     26.984076579454666
0.023242952780646163     26.984080276041844
0.02461938180815022      26.982732952820605
0.02461938180815022      26.98273047853748
0.027372239863158333     26.980104437334376
0.027372239863158333     26.980103809084255
0.02874866889066239      26.978802556543975
0.030125097918166446     26.977529137289107
0.030125097918166446     26.9775318579219
0.0315015269456705       26.976288643709985
0.032877955973174555     26.97508666919523
0.032877955973174555     26.975085411033977
0.03563081402818267      26.972875910932796
0.03563081402818267      26.972876422504346
0.041136530138198894     26.96929097536535
0.041136530138198894     26.96929187650767
0.051136530138198896     26.965103468645786
0.051136530138198896     26.965105304845295
0.056136530138198894     26.963491135547255
0.056136530138198894     26.96349184149208
0.0661365301381989       26.961835696488432
0.0661365301381989       26.96183402061604
0.07613653013819889      26.961390601927707
0.07613653013819889      26.96139055586315
0.08613653013819889      26.961882350756287
0.09613653013819888      26.963039181699
0.09613653013819888      26.96304464497479
0.10613653013819888      26.964678449878267
0.11613653013819887      26.96664668946877
0.12613653013819887      26.968778014704483
0.13613653013819887      26.971089728923708
0.14613653013819888      26.973447102145293
0.1561365301381989       26.975806508050876
0.1661365301381989       26.978161317003508
0.1661365301381989       26.978172093074058
0.1761365301381989       26.98053393714837
0.18613653013819892      26.982901976310924
0.19613653013819893      26.98524776812891
0.20613653013819894      26.98748993776358
0.21613653013819895      26.98962983748765
0.22613653013819895      26.99166307782007
0.23613653013819896      26.993589432034238
0.24613653013819897      26.99545364315824
0.256136530138199        26.99721302829968
0.266136530138199        26.998878001578497
0.276136530138199        27.000443591318483
0.286136530138199        27.001915100558698
0.296136530138199        27.003295117051653
0.306136530138199        27.00458842269061
0.31613653013819903      27.005798999902602
0.32613653013819904      27.00693143598086
0.33613653013819905      27.007989770663542
0.34613653013819906      27.008978520694633
0.35613653013819907      27.00990132517722
0.3661365301381991       27.01076292429348
0.3761365301381991       27.01156576974692
0.3861365301381991       27.012315981600054
0.3961365301381991       27.013012800073653
0.4061365301381991       27.013668958641098
0.4161365301381991       27.014285666541117
0.42613653013819913      27.014834106108495
0.43613653013819914      27.015344638310722
0.44613653013819915      27.01581878698817
0.45613653013819916      27.016262119717556
0.46613653013819917      27.016678577731554
0.4761365301381992       27.017061847455793
0.4861365301381992       27.01742005010651
0.4961365301381992       27.017754684343828
0.5061365301381991       27.018052980096336
0.5161365301381992       27.01834163535394
0.5261365301381992       27.01860653957959
0.5261365301381992       27.01862845163282
0.5361365301381992       27.018960780186493
0.5461365301381992       27.019347572595223
