<Group>											
Detector1											
8											
76		76		76		76		76		76	
oct26_1800_2vpp_350rpm_4000cyc_1st_10hz	T637393350917049602	oct26_1820_2vpp_350rpm_3000cyc_1st_50hz	T637393350917050068	oct26_2040_2.25vpp_550rpm_54000cyc_1st_30hz	T637393350917051002	oct26_2140_2vpp_600rpm_108000cyc_1st_30hz	T637393350917051447	oct26_2310_2vpp_600rpm_120000cyc_1st_50hz	T637393350917051892	oct26_2450_2vpp_600rpm_120000cyc_1st_50hz	T637393350917052337
X	Y	X	Y	X	Y	X	Y	X	Y	X	Y
662	516.015	662	567.0182	662	575.0187	662	677.0259	662	635.022766	662	629.022339
664	506.014465	664	576.018738	664	557.0175	664	699.0276	664	621.0218	664	588.019531
666	568.01825	666	554.017334	666	596.0201	666	652.024048	666	575.0187	666	639.0231
668	511.01474	668	539.0164	668	623.0219	668	614.0213	668	543.016663	668	628.0223
670	519.0152	670	493.013733	670	553.0173	670	653.0241	670	599.020264	670	599.020264
672	544.0167	672	461.012	672	550.0171	672	571.018433	672	605.0207	672	610.021
674	525.015564	674	512.014832	674	581.019043	674	609.020935	674	594.019958	674	603.020569
676	512.014832	676	464.012177	676	583.0192	676	630.0224	676	610.021	676	593.0199
678	503.014282	678	483.013184	678	509.014648	678	587.0195	678	604.0206	678	640.023132
680	471.012543	680	478.0129	680	552.0172	680	614.0213	680	566.0181	680	570.0184
682	473.012634	682	479.01297	682	553.0173	682	656.0243	682	592.0198	682	583.0192
684	484.013245	684	524.0155	684	580.019	684	580.019	684	596.0201	684	590.019653
686	457.0118	686	470.012482	686	537.0163	686	619.021667	686	566.0181	686	617.0215
688	479.01297	688	488.013458	688	550.0171	688	607.0208	688	590.019653	688	598.0202
690	451.0115	690	500.01413	690	600.0203	690	620.0217	690	543.016663	690	597.020142
692	493.013733	692	493.013733	692	562.0178	692	612.0212	692	611.0211	692	596.0201
694	459.0119	694	509.014648	694	580.019	694	581.019043	694	623.0219	694	562.0178
696	510.0147	696	473.012634	696	527.0157	696	602.020447	696	585.019348	696	578.01886
698	478.0129	698	474.0127	698	547.0169	698	594.019958	698	589.0196	698	567.0182
700	468.0124	700	469.012421	700	560.0177	700	604.0206	700	576.018738	700	562.0178
</Group>											
