<Group>																																			
Detector1																																			
18																																			
76		76		76		76		76		76		76		76		76		76		76		76		76		76		76		76		76		76	
sol_1st_D1 540:550-700	T637376758107045717	sol_2nd_D1 540:550-700(2)	T637376758107046164	sol_3rd_D1 540:550-700	T637376758107049279	ORIE6_1st_D1 540:550-700	T637376758107046609	ORIE6_2nd_D1 540:550-700	T637376758107048389	ORIE6_3rdt_D1 540:550-700	T637376758107048834	ORIE5_1st_D1 540:550-700	T637376758107047054	ORIE5_2nd_D1 540:550-700	T637376758107047499	ORIE5_3rd_D1 540:550-700	T637376758107047944	ORIE4_1st_D1 540:550-700	T637376758107049724	ORIE4_2nd_D1 540:550-700	T637376758107050169	ORIE4_3rd_D1 540:550-700	T637376758107050614	ORIE3_1st_D1 540:550-700	T637376758107051059	ORIE3_2nd_D1 540:550-700	T637376758107051504	ORIE3_3rd_D1 540:550-700	T637376758107051949	ORIE2_1st_D1 540:550-700	T637376758107052394	ORIE2_2nd_D1 540:550-700	T637376758107052839	ORIE2_3rd_D1 540:550-700	T637376758107053284
X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y
582	612.0212	582	608.0209	582	651.0239	582	651.0239	582	695.0273	582	686.0266	582	1256.08911	582	1260.08972	582	1337.101	582	7629.2876	582	7762.40332	582	7595.2583	582	70714.78	582	70068.6641	582	69925.53	582	637473.5	582	641340.063	582	630329.7
584	586.0194	584	653.0241	584	591.0197	584	682.0263	584	687.0267	584	653.0241	584	1227.08508	584	1224.08459	584	1281.09277	584	6971.74561	584	6906.69434	584	6963.73926	584	64981.9961	584	64441.0547	584	63615.1	584	586658.9	584	586518.9	584	579924.3
586	623.0219	586	596.0201	586	571.018433	586	652.024048	586	663.024841	586	671.025452	586	1116.07043	586	1246.08777	586	1186.07947	586	6350.278	586	6401.31445	586	6404.317	586	59045.543	586	58372.09	586	58089.2344	586	532499.3	586	536643.25	586	526478.7
588	607.0208	588	592.0198	588	613.02124	588	664.0249	588	698.0275	588	638.023	588	1114.07007	588	1042.0614	588	1072.065	588	5926.98438	588	5792.89551	588	6023.04932	588	53731.793	588	53125.14	588	52151.3672	588	479517.969	588	485605	588	475321.563
590	618.0216	590	679.026062	590	657.0244	590	664.0249	590	673.0256	590	621.0218	590	1020.05878	590	1091.06726	590	1126.07166	590	5398.64648	590	5520.72168	590	5323.601	590	48086.41	590	47521.3633	590	47031.7578	590	430098.344	590	435595.75	590	428361.1
592	711.028564	592	791.035339	592	739.0309	592	729.03	592	750.0318	592	719.029236	592	1197.08093	592	1157.07568	592	1125.07153	592	4941.37939	592	4958.38867	592	4923.369	592	43223.3867	592	42838.52	592	42098.9766	592	388276.656	592	392222.9	592	386075.4
594	769.0334	594	769.0334	594	780.034363	594	763.0329	594	752.032	594	743.0312	594	1118.07068	594	1071.06482	594	1120.07092	594	4612.20166	594	4623.20752	594	4603.197	594	39184.625	594	38609.1	594	38474.5156	594	350719.844	594	353966.563	594	350541.938
596	663.024841	596	667.025146	596	650.023865	596	701.0278	596	740.030945	596	721.029358	596	981.0544	596	970.053162	596	1042.0614	596	4123.961	596	4127.9624	596	4124.96143	596	34934.8633	596	34478.08	596	34196.99	596	318314.781	596	317767.469	596	314520.531
598	621.0218	598	622.021851	598	624.022	598	605.0207	598	645.0235	598	652.024048	598	950.051	598	908.0466	598	955.0515	598	3753.79614	598	3795.814	598	3677.76416	598	31812.11	598	31612.3965	598	31390.6074	598	287537.1	598	285896.8	598	284872.281
600	590.019653	600	622.021851	600	593.0199	600	694.0272	600	620.0217	600	650.023865	600	933.0492	600	885.04425	600	902.045959	600	3413.6582	600	3365.64	600	3412.658	600	28721.5586	600	28436.6387	600	28682.4316	600	258638.969	600	258062.375	600	258646.172
