Style,Standard
Append Mode,1
Fill Mode,0
Capacity,100000
Count,32307
Base Time Seconds,1604344012
Base Time Fractional,.418573020
Index,Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Date,Time,Fractional Seconds
36,204441.6639954,Ohm,1000000,5.5,F,F,F,F,F,F,Front,F,Main,0.0999864190817,Volt DC,.1,T,2W,F,F,11/02/2020,19:06:54,.844693940
37,205716.2967773,Ohm,1000000,5.5,F,F,F,F,F,F,Front,F,Main,0.0999871194363,Volt DC,.1,T,2W,F,F,11/02/2020,19:06:54,.914005360
38,206788.9662505,Ohm,1000000,5.5,F,F,F,F,F,F,Front,F,Main,0.0999865680933,Volt DC,.1,T,2W,F,F,11/02/2020,19:06:54,.983320100
39,207662.6399805,Ohm,1000000,5.5,F,F,F,F,F,F,Front,F,Main,0.0999869927764,Volt DC,.1,T,2W,F,F,11/02/2020,19:06:55,.052641760
40,208814.0844249,Ohm,1000000,5.5,F,F,F,F,F,F,Front,F,Main,0.0999857187271,Volt DC,.1,T,2W,F,F,11/02/2020,19:06:55,.121943160
41,209328.3876701,Ohm,1000000,5.5,F,F,F,F,F,F,Front,F,Main,0.0999865531921,Volt DC,.1,T,2W,F,F,11/02/2020,19:06:55,.191262720
42,210603.7320697,Ohm,1000000,5.5,F,F,F,F,F,F,Front,F,Main,0.0999870449305,Volt DC,.1,T,2W,F,F,11/02/2020,19:06:55,.260583560
43,211554.6358254,Ohm,1000000,5.5,F,F,F,F,F,F,Front,F,Main,0.0999872311950,Volt DC,.1,T,2W,F,F,11/02/2020,19:06:55,.329894940
44,212777.9404054,Ohm,1000000,5.5,F,F,F,F,F,F,Front,F,Main,0.0999861657619,Volt DC,.1,T,2W,F,F,11/02/2020,19:06:55,.399210440
45,213163.3294189,Ohm,1000000,5.5,F,F,F,F,F,F,Front,F,Main,0.0999870300293,Volt DC,.1,T,2W,F,F,11/02/2020,19:06:55,.468518380
46,214306.8069507,Ohm,1000000,5.5,F,F,F,F,F,F,Front,F,Main,0.0999870225787,Volt DC,.1,T,2W,F,F,11/02/2020,19:06:55,.537819480
47,215612.2939568,Ohm,1000000,5.5,F,F,F,F,F,F,Front,F,Main,0.0999885126948,Volt DC,.1,T,2W,F,F,11/02/2020,19:06:55,.607138220
48,216477.4645105,Ohm,1000000,5.5,F,F,F,F,F,F,Front,F,Main,0.0999871417880,Volt DC,.1,T,2W,F,F,11/02/2020,19:06:55,.676466860
49,216803.9911047,Ohm,1000000,5.5,F,F,F,F,F,F,Front,F,Main,0.0999872684479,Volt DC,.1,T,2W,F,F,11/02/2020,19:06:55,.745811000
50,218630.2591208,Ohm,1000000,5.5,F,F,F,F,F,F,Front,F,Main,0.0999875068665,Volt DC,.1,T,2W,F,F,11/02/2020,19:06:55,.815156640
51,220067.3856538,Ohm,1000000,5.5,F,F,F,F,F,F,Front,F,Main,0.0999855622649,Volt DC,.1,T,2W,F,F,11/02/2020,19:06:55,.884493200
52,218225.3033251,Ohm,1000000,5.5,F,F,F,F,F,F,Front,F,Main,0.0999871417880,Volt DC,.1,T,2W,F,F,11/02/2020,19:06:55,.953818180
53,221007.5696927,Ohm,1000000,5.5,F,F,F,F,F,F,Front,F,Main,0.0999856591225,Volt DC,.1,T,2W,F,F,11/02/2020,19:06:56,.023132740
54,223873.6506484,Ohm,1000000,5.5,F,F,F,F,F,F,Front,F,Main,0.0999877080321,Volt DC,.1,T,2W,F,F,11/02/2020,19:06:56,.092454380
55,221679.9359525,Ohm,1000000,5.5,F,F,F,F,F,F,Front,F,Main,0.0999875441194,Volt DC,.1,T,2W,F,F,11/02/2020,19:06:56,.161759240
56,224040.48863,Ohm,1000000,5.5,F,F,F,F,F,F,Front,F,Main,0.0999874472618,Volt DC,.1,T,2W,F,F,11/02/2020,19:06:56,.231075200
