xi	H
-0.2199630027449575	1.9002273423427216
-0.1997959183673469	1.876871901040443
-0.16426343636869944	1.851836676961237
-0.12200859291084853	1.8230284023369328
-0.07879341210168267	1.792501580717772
-0.035578231292516915	1.7631958319633776
0.007636949516648839	1.7349076439296218
0.05085213032581459	1.7078405287606326
0.09406731113498035	1.681790974312282
0.1372824919441462	1.6551308834315481
0.18206913387364532	1.6286928057989538
0.23235588972431076	1.601573270835265
0.28421410669530967	1.5742687248314602
0.33806687047288553	1.5459074811562226
0.3879305406373077	1.5248604987293368
0.42768850698174	1.5059564817859157
0.4804110275689222	1.4823490730670978
0.5222904664258048	1.457557593691537
0.5748361976369496	1.4421554246018695
0.6202121374865737	1.4197690887478183
0.6769920833830609	1.4000397169976568
0.742295023272467	1.3788486111964193
0.7995551378446115	1.356934714248379
0.8632975295381311	1.3366925241985306
0.9237987826709633	1.3175042363236296
0.9843000358037952	1.2997696066210693
1.0448012889366274	1.2820349769185093
1.1053025420694593	1.26575400538829
1.1658037952022917	1.2503452287614758
1.2263050483351237	1.236099378672534
1.2868063014679556	1.2218535285835923
1.3473075546007875	1.2084798733980553
1.40780880773362	1.1959784131159226
1.4683100608664519	1.184930611006131
1.5288113139992838	1.173301345627403
1.5893125671321162	1.162835006786548
1.6498138202649482	1.1535315944835656
1.71031507339778	1.1436467189116468
1.7708163265306125	1.134924769877601
1.8313175796634444	1.1267842841124915
1.8918188327962764	1.119225261616318
1.9523200859291083	1.1119569707546133
2.012821339061941	1.1046886798929083
2.0733225921947724	1.0985833155690763
2.133823845327605	1.092477951245244
2.194325098460437	1.0869540501903483
2.2548263515932687	1.0814301491354525
2.315327604726101	1.076196979715025
2.3758288578589335	1.0715452735635338
2.436330110991765	1.0671842990465108
2.4968313641245974	1.063114056163956
2.5573326172574298	1.0593345449158695
2.6178338703902613	1.056136496936719
2.6783351235230937	1.0523569856886326
2.738836376655925	1.0494496693439508
2.7993376297887576	1.0459608897303323
2.85983888292159	1.0436350366545868
2.9203401360544214	1.0404369886754365
2.980841389187254	1.0378204039652226
3.041342642320086	1.0357852825239453
3.1018438954529186	1.0334594294481998
3.16234514858575	1.0314243080069223
3.2228464017185825	1.029389186565645
3.283347654851415	1.0279355283933038
3.3438489079842464	1.0259004069520266
3.4043501611170788	1.0244467487796856
3.464851414249911	1.0227023589728763
3.5253526673827427	1.0212487008005355
3.585853920515575	1.0203765058971308
3.6463551736484074	1.0186321160903216
3.706856426781239	1.0180506528213853
3.7673576799140713	1.016306263014576
3.827858933046903	1.016306263014576
3.8883601861797352	1.0142711415732986
3.9488614393125676	1.0142711415732986
4.009362692445399	1.0122360201320213
4.0698639455782315	1.0122360201320213
4.130365198711064	1.0122360201320213
4.190866451843895	1.0102008986907438
4.251367704976728	1.0102008986907438
4.31186895810956	1.0102008986907438
4.372370211242392	1.0081657772494665
4.432871464375224	1.0081657772494665
4.4933727175080564	1.0081657772494665
4.553873970640888	1.0081657772494665
4.61437522377372	1.00758431398053
4.674876476906553	1.006130655808189
4.735377730039384	1.006130655808189
4.795878983172217	1.006130655808189
4.856380236305049	1.006130655808189
4.9168814894378805	1.005839924173721
4.977382742570713	1.0040955343669118
5.037883995703545	1.0040955343669118
5.098385248836377	1.0040955343669118
5.158886501969209	1.0040955343669118
5.219387755102041	1.0040955343669118
5.279889008234873	1.0040955343669118
5.3403902613677054	1.0040955343669118
5.400891514500537	1.0040955343669118
5.461392767633369	1.0040955343669118
5.521894020766202	1.0040955343669118
5.582395273899033	1.0035140710979753
5.642896527031866	1.0020604129256343
5.703397780164698	1.0020604129256343
5.7638990332975295	1.0020604129256343
5.824400286430362	1.0020604129256343
5.871936985320445	1.0020604129256343
